SN	Easting	Northing
1	723406.8732	3038422.334
2	723699.4826	3038649.412
3	723001.2807	3038969.341
4	722803.5255	3038965.751
5	722607.7796	3038851.326
6	722410.0228	3038847.743
7	722012.5059	3038951.425
8	721415.2455	3039162.39
9	721116.6238	3039267.883
10	720317.6747	3039697.015
11	719621.617	3039906.289
12	718427.3101	3040328.468
13	717529.6744	3040756.012
14	717035.3731	3040747.26
15	716345.307	3040624.203
16	715546.6339	3041053.63
17	715151.2067	3041046.689
18	714554.1903	3041257.974
19	714160.7064	3041140.23
20	714061.851	3041138.505
21	713763.3537	3041244.169
22	713563.7155	3041351.561
23	713464.862	3041349.841
24	713166.376	3041455.519
25	712869.8189	3041450.37
26	711972.4884	3041878.303
27	711675.9434	3041873.182
28	711577.0952	3041871.476
29	711077.1319	3042195.463
30	710679.8467	3042299.499
31	710077.287	3042843.494
32	709775.0789	3043170.919
33	709077.5508	3043491.601
34	708478.8925	3043814.001
35	708376.2926	3044033.987
36	707878.3871	3044247.261
37	707777.6806	3044356.419
38	707578.1506	3044463.902
39	707481.202	3044351.395
