SN	LATITUDE	LONGITUDE	ELLIPSOIDHEIGHT
1	27.445	83.26	42.5
2	27.447	83.263	42.7
3	27.45	83.256	43.5
4	27.45	83.254	44.3
5	27.449	83.252	45.1
6	27.449	83.25	45.9
7	27.45	83.246	46.7
8	27.452	83.24	47.5
9	27.453	83.237	48.3
10	27.457	83.229	49.1
11	27.459	83.222	49.9
12	27.463	83.21	50.7
13	27.467	83.201	51.5
14	27.467	83.196	52.3
15	27.466	83.189	53.1
16	27.47	83.181	53.9
17	27.47	83.177	54.7
18	27.472	83.171	55.5
19	27.471	83.167	56.3
20	27.471	83.166	57.1
21	27.472	83.163	57.9
22	27.473	83.161	58.7
23	27.473	83.16	59.5
24	27.474	83.157	60.3
25	27.474	83.154	61.1
26	27.478	83.145	61.9
27	27.478	83.142	62.7
28	27.478	83.141	63.5
29	27.481	83.136	64.3
30	27.482	83.132	65.1
31	27.487	83.126	65.9
32	27.49	83.123	66.7
33	27.493	83.116	67.5
34	27.496	83.11	68.3
35	27.498	83.109	69.1
36	27.5	83.104	69.9
37	27.501	83.103	70.7
38	27.502	83.101	71.5
39	27.501	83.1	72.3
